PCON24NM,nation,mp_name,mp_party,mp_email,la_name,child_pop_0_19,imd_decile,imd_score,pct_non_decent_homes,total_homes_la,n_dwellings_voa,estimated_children_bl_5plus,rate_per_1000_bl_5plus,pct_pre_1900,pct_pre_1945,pct_pre_1972,pct_pre_1992,housing_source,n_mines_total,n_macklin,n_macklin_pb_relevant,n_iocmwf_metalliferous,n_iocmwf_water_pollution
Basingstoke,England,Luke Murphy,Labour,luke.murphy.mp@parliament.uk,Basingstoke and Deane,27185.0,8,14.829738430810647,9.7,81103.0,46524,522,19.2,5.99,12.13,42.89,70.37,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bassetlaw,England,Jo White,Labour,jo.white.mp@parliament.uk,Bassetlaw,24612.0,5,22.9073226021376,18.1,54102.0,44768,565,23.0,11.44,29.7,57.77,73.18,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bath,England,Wera Hobhouse,Liberal Democrat,wera.hobhouse.mp@parliament.uk,Bath and North East Somerset,23777.0,9,11.990987377336628,14.9,84479.0,41619,458,19.3,25.26,38.63,66.69,79.07,VOA CTSOP 2023 (LAD),0,0,0,0,0
Battersea,England,Marsha De Cordova,Labour,marsha.decordova.mp@parliament.uk,Wandsworth,20897.0,7,16.62835797856406,9.6,148854.0,53010,417,20.0,33.11,52.1,69.84,78.35,VOA CTSOP 2023 (LAD),0,0,0,0,0
Beaconsfield,England,Joy Morrissey,Conservative,joy.morrissey.mp@parliament.uk,Buckinghamshire,23245.0,10,8.631533032141224,11.0,232712.0,45119,416,17.9,8.89,22.93,55.2,74.53,VOA CTSOP 2023 (LAD),0,0,0,0,0
Beckenham and Penge,England,Liam Conlon,Labour,liam.conlon.mp@parliament.uk,Bromley,25253.0,5.0,,8.1,147288.0,37020,534,21.1,12.12,47.1,73.91,87.55,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bedford,England,Mohammad Yasin,Labour,mohammad.yasin.mp@parliament.uk,Bedford,28202.0,5,23.274184488275914,11.1,77918.0,38516,612,21.7,13.65,27.01,53.5,68.88,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bermondsey and Old Southwark,England,Neil Coyle,Labour,neil.coyle.mp@parliament.uk,Southwark,18297.0,4,25.767731810030426,9.5,141408.0,51214,405,22.1,22.65,32.31,53.15,66.03,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bethnal Green and Stepney,England,Rushanara Ali,Labour,rushanara.ali.mp@parliament.uk,Tower Hamlets,28535.0,5.0,,7.9,130618.0,58592,603,21.1,10.9,16.13,34.95,47.34,VOA CTSOP 2023 (LAD),0,0,0,0,0
Beverley and Holderness,England,Graham Stuart,Conservative,grahamstuartmp@parliament.uk,East Riding of Yorkshire,17447.0,8,15.76702053915276,17.7,157802.0,36182,358,20.5,14.43,29.68,54.93,74.34,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bexhill and Battle,England,Dr Kieran Mullan,Conservative,kieran.mullan.mp@parliament.uk,Rother,17362.0,7,17.16719101060599,20.2,44448.0,43310,377,21.7,21.45,38.89,66.43,82.67,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bexleyheath and Crayford,England,Daniel Francis,Labour,daniel.francis.mp@parliament.uk,Bexley,26560.0,7,17.28948649981636,8.3,103473.0,41617,524,19.7,6.9,52.0,74.2,87.11,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bicester and Woodstock,England,Calum Miller,Liberal Democrat,calum.miller.mp@parliament.uk,Cherwell,24763.0,5.0,,12.0,69571.0,45264,542,21.9,12.87,19.14,45.52,67.59,VOA CTSOP 2023 (LAD),0,0,0,0,0
Birkenhead,England,Alison McGovern,Labour,alison.mcgovern.mp@parliament.uk,Wirral,26144.0,1,44.051791969064055,16.8,147536.0,45963,677,25.9,15.49,48.24,74.84,88.54,VOA CTSOP 2023 (LAD),0,0,0,0,0
Birmingham Edgbaston,England,Preet Kaur Gill,Labour (Co-op),preet.gill.mp@parliament.uk,Birmingham,27532.0,5.0,,18.1,429733.0,31840,633,23.0,11.67,47.2,70.36,81.58,VOA CTSOP 2023 (LAD),0,0,0,0,0
Birmingham Erdington,England,Paulette Hamilton,Labour,paulette.hamilton.mp@parliament.uk,Birmingham,34925.0,5.0,,18.1,429733.0,50943,802,23.0,11.67,47.2,70.36,81.58,VOA CTSOP 2023 (LAD),0,0,0,0,0
Birmingham Hall Green and Moseley,England,Tahir Ali,Labour,tahir.ali.mp@parliament.uk,Birmingham,35080.0,5.0,,18.1,429733.0,38208,806,23.0,11.67,47.2,70.36,81.58,VOA CTSOP 2023 (LAD),0,0,0,0,0
Birmingham Hodge Hill and Solihull North,England,Liam Byrne,Labour,liam.byrne.mp@parliament.uk,Birmingham,39702.0,5.0,,18.1,429733.0,49403,912,23.0,9.17,40.25,68.89,81.2,VOA CTSOP 2023 (LAD),0,0,0,0,0
Birmingham Ladywood,England,Shabana Mahmood,Labour,shabana.mahmood.mp@parliament.uk,Birmingham,44482.0,5.0,,18.1,429733.0,50943,1022,23.0,11.67,47.2,70.36,81.58,VOA CTSOP 2023 (LAD),0,0,0,0,0
Birmingham Northfield,England,Laurence Turner,Labour,laurence.turner.mp@parliament.uk,Birmingham,29797.0,5.0,,18.1,429733.0,50943,685,23.0,11.67,47.2,70.36,81.58,VOA CTSOP 2023 (LAD),0,0,0,0,0
Birmingham Perry Barr,England,Ayoub Khan,Independent,ayoub.khan.mp@parliament.uk,Birmingham,36913.0,5.0,,18.1,429733.0,50943,848,23.0,11.67,47.2,70.36,81.58,VOA CTSOP 2023 (LAD),0,0,0,0,0
Birmingham Selly Oak,England,Al Carns,Labour,al.carns.mp@parliament.uk,Birmingham,24906.0,5.0,,18.1,429733.0,50943,572,23.0,11.67,47.2,70.36,81.58,VOA CTSOP 2023 (LAD),0,0,0,0,0
Birmingham Yardley,England,Jess Phillips,Labour,jess.phillips.mp@parliament.uk,Birmingham,35870.0,5.0,,18.1,429733.0,44575,824,23.0,11.67,47.2,70.36,81.58,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bishop Auckland,England,Sam Rushworth,Labour,sam.rushworth.mp@parliament.uk,County Durham,19277.0,3,29.118400336632778,14.7,242900.0,43464,461,23.9,13.72,35.98,64.71,78.73,VOA CTSOP 2023 (LAD),24,5,5,18,21
Blackburn,England,Mr Adnan Hussain,Independent,adnan.hussain.mp@parliament.uk,Blackburn with Darwen,36286.0,1,39.38047543360458,20.2,60538.0,44506,965,26.6,30.83,46.88,65.42,80.79,VOA CTSOP 2023 (LAD),0,0,0,0,0
Blackley and Middleton South,England,Graham Stringer,Labour,graham.stringer.mp@parliament.uk,Manchester,34822.0,5.0,,17.9,221040.0,49252,799,22.9,15.59,41.57,62.0,74.43,VOA CTSOP 2023 (LAD),0,0,0,0,0
Blackpool North and Fleetwood,England,Lorraine Beavers,Labour,lorraine.beavers.mp@parliament.uk,Wyre,19210.0,5.0,,17.7,52313.0,48547,440,22.9,10.94,40.24,70.55,82.77,VOA CTSOP 2023 (LAD),0,0,0,0,0
Blackpool South,England,Chris Webb,Labour,chris.webb.mp@parliament.uk,Blackpool,26127.0,1,49.00181414343877,24.6,66821.0,53417,719,27.5,15.0,62.88,82.72,90.47,VOA CTSOP 2023 (LAD),0,0,0,0,0
Blaydon and Consett,England,Liz Twist,Labour,liz.twist.mp@parliament.uk,County Durham,19913.0,5.0,,14.7,242900.0,45292,445,22.3,13.45,36.91,68.56,81.69,VOA CTSOP 2023 (LAD),1,0,0,0,0
Blyth and Ashington,England,Ian Lavery,Labour,ian.lavery.mp@parliament.uk,Northumberland,23776.0,5.0,,17.5,152126.0,50715,544,22.9,15.38,33.94,61.16,79.1,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bognor Regis and Littlehampton,England,Alison Griffiths,Conservative,alison.griffiths.mp@parliament.uk,Arun,21242.0,5,21.470888324873098,14.1,76720.0,51847,473,22.3,6.97,26.0,58.35,78.24,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bolsover,England,Natalie Fleet,Labour,natalie.fleet.mp@parliament.uk,Bolsover,22469.0,4,24.65547841995593,16.1,36988.0,52365,526,23.4,13.03,33.69,60.43,76.57,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bolton North East,England,Kirith Entwistle,Labour,kirith.entwistle.mp@parliament.uk,Bolton,31456.0,2,34.807888374107385,16.6,122402.0,42487,789,25.1,18.88,41.31,65.24,82.46,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bolton South and Walkden,England,Yasmin Qureshi,Labour,yasmin.qureshi.mp@parliament.uk,Bolton,39603.0,5.0,,16.6,122402.0,56832,899,22.7,16.56,38.77,62.2,77.96,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bolton West,England,Phil Brickell,Labour,phil.brickell.mp@parliament.uk,Bolton,25042.0,5,21.71368340487149,16.6,122402.0,47798,568,22.7,18.88,41.31,65.24,82.46,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bootle,England,Peter Dowd,Labour,peter.dowd.mp@parliament.uk,Sefton,24652.0,1,42.20251706756279,17.8,126783.0,45259,644,26.1,21.72,48.22,75.95,88.45,VOA CTSOP 2023 (LAD),0,0,0,0,0
Boston and Skegness,England,Richard Tice,Reform UK,richard.tice.mp@parliament.uk,Boston,25275.0,3,28.81706354253064,17.4,30846.0,52661,618,24.5,16.65,30.49,53.91,71.43,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bournemouth East,England,Tom Hayes,Labour,tom.hayes.mp@parliament.uk,"Bournemouth, Christchurch and Poole",23404.0,5,21.645607290039706,13.4,184493.0,51559,518,22.1,10.84,36.18,60.23,80.3,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bournemouth West,England,Jessica Toale,Labour,jessica.toale.mp@parliament.uk,"Bournemouth, Christchurch and Poole",21041.0,5,22.413539044593865,13.4,184493.0,45830,465,22.1,10.84,36.18,60.23,80.3,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bracknell,England,Peter Swallow,Labour,peter.swallow.mp@parliament.uk,Bracknell Forest,26296.0,10,10.920735231468333,7.7,53273.0,39495,458,17.4,3.19,6.31,37.43,70.56,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bradford East,England,Imran Hussain,Labour,imran.hussain.mp@parliament.uk,Bradford,39634.0,1,44.644486939255174,20.9,217823.0,42908,1060,26.7,23.66,46.45,68.66,79.52,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bradford South,England,Judith Cummins,Labour,judith.cummins.mp@parliament.uk,Bradford,32789.0,1,38.25947971030936,20.9,217823.0,50059,877,26.7,23.66,46.45,68.66,79.52,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bradford West,England,Naz Shah,Labour,naz.shah.mp@parliament.uk,Bradford,39265.0,1,42.17544704154893,20.9,217823.0,42908,1050,26.7,23.66,46.45,68.66,79.52,VOA CTSOP 2023 (LAD),0,0,0,0,0
Braintree,England,Sir James Cleverly,Conservative,james.cleverly.mp@parliament.uk,Braintree,24291.0,8,14.83900432994368,12.3,67524.0,48715,477,19.6,12.13,23.62,49.59,69.49,VOA CTSOP 2023 (LAD),0,0,0,0,0
Brent East,England,Dawn Butler,Labour,dawn.butler.mp@parliament.uk,Brent,34500.0,5.0,,12.1,128525.0,48175,755,21.9,20.69,61.01,68.8,75.22,VOA CTSOP 2023 (LAD),0,0,0,0,0
Brent West,England,Barry Gardiner,Labour,barry.gardiner.mp@parliament.uk,Brent,32057.0,5.0,,12.1,128525.0,60218,702,21.9,20.69,61.01,68.8,75.22,VOA CTSOP 2023 (LAD),0,0,0,0,0
Brentford and Isleworth,England,Ruth Cadbury,Labour,ruthcadburymp@parliament.uk,Hounslow,33056.0,6,19.61859481988251,9.3,111524.0,54542,682,20.6,11.66,47.24,65.12,77.41,VOA CTSOP 2023 (LAD),0,0,0,0,0
Brentwood and Ongar,England,Alex Burghart,Conservative,alex.burghart.mp@parliament.uk,Brentwood,23490.0,9,11.609344796314806,9.0,33635.0,47134,431,18.3,7.28,22.53,67.02,81.56,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bridgwater,England,Sir Ashley Fox,Conservative,ashley.fox.mp@parliament.uk,Somerset,23235.0,5.0,,16.9,266140.0,,529,22.8,,,,,,0,0,0,0,0
Bridlington and The Wolds,England,Charlie Dewhirst,Conservative,charlie.dewhirst.mp@parliament.uk,,,,,,,,,,,,,,,0,0,0,0,0
Brigg and Immingham,England,Martin Vickers,Conservative,martin.vickers.mp@parliament.uk,North East Lincolnshire,19125.0,5.0,,16.7,72582.0,42549,435,22.7,12.66,33.39,65.04,80.96,VOA CTSOP 2023 (LAD),0,0,0,0,0
Brighton Kemptown and Peacehaven,England,Chris Ward,Labour,chris.ward.mp@parliament.uk,Brighton and Hove,18316.0,5.0,,23.0,128334.0,48420,437,23.9,26.38,46.9,73.81,86.36,VOA CTSOP 2023 (LAD),0,0,0,0,0
Brighton Pavilion,England,Siân Berry,Green Party,sian.berry.mp@parliament.uk,Brighton and Hove,17642.0,5.0,,23.0,128334.0,49444,421,23.9,33.24,56.76,80.16,87.93,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bristol Central,England,Carla Denyer,Green Party,carla.denyer.mp@parliament.uk,"Bristol, City of",12430.0,5.0,,14.5,203529.0,43128,277,22.3,9.71,51.19,72.78,80.59,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bristol East,England,Kerry McCarthy,Labour,kerry.mccarthy.mp@parliament.uk,"Bristol, City of",25481.0,4,26.23238503050444,14.5,203529.0,55451,589,23.1,9.71,51.19,72.78,80.59,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bristol North East,England,Damien Egan,Labour,damien.egan.mp@parliament.uk,"Bristol, City of",23313.0,5.0,,14.5,203529.0,42608,520,22.3,8.67,34.75,60.26,75.64,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bristol North West,England,Darren Jones,Labour,darren.jones.mp@parliament.uk,"Bristol, City of",26573.0,4,24.442144765622054,14.5,203529.0,43128,614,23.1,9.71,51.19,72.78,80.59,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bristol South,England,Karin Smyth,Labour,karin.smyth.mp@parliament.uk,"Bristol, City of",25321.0,2,32.742763033926515,14.5,203529.0,43128,624,24.6,9.71,51.19,72.78,80.59,VOA CTSOP 2023 (LAD),0,0,0,0,0
Broadland and Fakenham,England,Jerome Mayhew,Conservative,jerome.mayhew.mp@parliament.uk,Broadland,19384.0,5.0,,12.2,60070.0,49409,425,21.9,10.83,22.86,50.52,71.8,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bromley and Biggin Hill,England,Peter Fortune,Conservative,peter.fortune.mp@parliament.uk,Bromley,24218.0,5.0,,8.1,147288.0,47597,512,21.1,12.12,47.1,73.91,87.55,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bromsgrove,England,Bradley Thomas,Conservative,bradley.thomas.mp@parliament.uk,Bromsgrove,23191.0,9,11.68277928735195,12.1,41850.0,42790,437,18.8,8.88,26.57,58.45,75.88,VOA CTSOP 2023 (LAD),0,0,0,0,0
Broxbourne,England,Lewis Cocking,Conservative,lewis.cocking.mp@parliament.uk,Broxbourne,27835.0,7,17.60758984253196,9.0,41398.0,46567,552,19.8,6.58,18.61,54.09,76.07,VOA CTSOP 2023 (LAD),0,0,0,0,0
Broxtowe,England,Juliet Campbell,Labour,juliet.campbell.mp@parliament.uk,Broxtowe,20432.0,9,12.680272884685488,15.5,50901.0,41666,396,19.4,9.5,33.34,67.11,86.05,VOA CTSOP 2023 (LAD),0,0,0,0,0
Buckingham and Bletchley,England,Callum Anderson,Labour,callum.anderson.mp@parliament.uk,Buckinghamshire,29426.0,5.0,,11.0,232712.0,43698,638,21.7,6.89,15.58,37.74,66.87,VOA CTSOP 2023 (LAD),0,0,0,0,0
Burnley,England,Oliver Ryan,Labour (Co-op),oliver.ryan.mp@parliament.uk,Burnley,30103.0,1,38.554301968061175,20.3,41069.0,49592,802,26.6,34.01,56.72,73.23,85.01,VOA CTSOP 2023 (LAD),1,0,0,0,2
Burton and Uttoxeter,England,Jacob Collier,Labour,jacob.collier.mp@parliament.uk,East Staffordshire,28922.0,5.0,,16.5,52022.0,45833,656,22.7,15.27,32.75,55.09,70.95,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bury North,England,Mr James Frith,Labour,james.frith.mp@parliament.uk,Bury,25527.0,4,24.229296437955234,15.9,83138.0,42455,596,23.3,17.95,43.81,71.3,85.01,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bury South,England,Christian Wakeford,Labour,christian.wakeford.mp@parliament.uk,Bury,30483.0,4,23.836147972497,15.9,83138.0,49007,712,23.4,17.33,42.81,69.83,83.41,VOA CTSOP 2023 (LAD),0,0,0,0,0
Bury St Edmunds and Stowmarket,England,Peter Prinsley,Labour,peter.prinsley.mp@parliament.uk,West Suffolk,23136.0,5.0,,12.7,81778.0,43794,509,22.0,15.24,20.96,45.94,69.07,VOA CTSOP 2023 (LAD),0,0,0,0,0
Calder Valley,England,Josh Fenton-Glynn,Labour,josh.fentonglynn.mp@parliament.uk,Calderdale,21181.0,6,20.631261790018844,22.5,93875.0,48360,486,22.9,32.07,51.15,71.23,81.42,VOA CTSOP 2023 (LAD),0,0,0,0,0
Camborne and Redruth,England,Perran Moon,Labour,perran.moon.mp@parliament.uk,Cornwall,22422.0,4,26.485812904597395,23.1,266162.0,46765,554,24.7,25.6,35.26,54.41,73.51,VOA CTSOP 2023 (LAD),8,4,0,4,4
Cambridge,England,Daniel Zeichner,Labour,daniel@danielzeichner.co.uk,Cambridge,23236.0,8,15.306197529796398,10.6,54693.0,51394,450,19.4,14.48,31.4,53.75,68.75,VOA CTSOP 2023 (LAD),0,0,0,0,0
Cannock Chase,England,Josh Newbury,Labour,josh.newbury.mp@parliament.uk,Cannock Chase,22981.0,6,20.45915396677319,11.2,44094.0,45780,482,21.0,4.33,18.04,55.13,74.4,VOA CTSOP 2023 (LAD),0,0,0,0,0
Canterbury,England,Rosie Duffield,Independent,rosie.duffield.mp@parliament.uk,Canterbury,23175.0,8,15.556338794733177,15.1,67401.0,47000,466,20.1,15.21,32.41,60.11,76.68,VOA CTSOP 2023 (LAD),0,0,0,0,0
Carlisle,England,Ms Julie Minns,Labour,julie.minns.mp@parliament.uk,Cumberland,23029.0,5,22.859102138341605,22.0,129197.0,,545,23.7,,,,,,0,0,0,0,0
Carshalton and Wallington,England,Bobby Dean,Liberal Democrat,bobby.dean.mp@parliament.uk,Sutton,28742.0,7,17.10900144263819,8.9,89336.0,42985,570,19.8,5.25,53.93,68.22,82.54,VOA CTSOP 2023 (LAD),0,0,0,0,0
Castle Point,England,Rebecca Harris,Conservative,rebecca.harris.mp@parliament.uk,Castle Point,19895.0,7,16.821148114543682,8.5,38918.0,43836,393,19.8,1.38,12.48,60.86,83.93,VOA CTSOP 2023 (LAD),0,0,0,0,0
Central Devon,England,Sir Mel Stride,Conservative,mel.stride.mp@parliament.uk,Mid Devon,19698.0,7,16.28722436406364,21.7,37877.0,44363,433,22.0,26.35,35.18,55.22,73.69,VOA CTSOP 2023 (LAD),1,2,2,1,1
Central Suffolk and North Ipswich,England,Patrick Spencer,Independent,patrick.spencer.mp@parliament.uk,Mid Suffolk,21177.0,8,14.526365107773714,17.7,45999.0,45462,434,20.5,18.48,31.27,52.96,72.87,VOA CTSOP 2023 (LAD),0,0,0,0,0
Chatham and Aylesford,England,Tristan Osborne,Labour,tristan.osborne.mp@parliament.uk,Medway,29011.0,4,24.91484786504597,14.7,117761.0,48709,671,23.1,14.59,30.4,61.36,78.58,VOA CTSOP 2023 (LAD),0,0,0,0,0
Cheadle,England,Tom Morrison,Liberal Democrat,tom.morrison.mp@parliament.uk,Stockport,23756.0,9,11.521205478878255,14.5,130518.0,50923,456,19.2,13.9,42.26,76.86,90.0,VOA CTSOP 2023 (LAD),0,0,0,0,0
Chelmsford,England,Marie Goldman,Liberal Democrat,marie.goldman.mp@parliament.uk,Chelmsford,26603.0,9,12.566074472353744,9.0,78424.0,43312,488,18.3,5.03,18.0,51.21,75.26,VOA CTSOP 2023 (LAD),0,0,0,0,0
Chelsea and Fulham,England,Ben Coleman,Labour,ben.coleman.mp@parliament.uk,Hammersmith and Fulham,21836.0,7,17.235375601060426,12.5,88372.0,60078,446,20.4,53.21,68.36,77.05,84.87,VOA CTSOP 2023 (LAD),0,0,0,0,0
Cheltenham,England,Max Wilkinson,Liberal Democrat,max.wilkinson.mp@parliament.uk,Cheltenham,22502.0,8,14.514859265087882,13.1,56336.0,44695,445,19.8,22.45,33.44,63.05,79.85,VOA CTSOP 2023 (LAD),0,0,0,0,0
Chesham and Amersham,England,Sarah Green,Liberal Democrat,sarah.green.mp@parliament.uk,Buckinghamshire,25319.0,10,6.977283114341046,11.0,232712.0,49631,454,17.9,8.89,22.93,55.2,74.53,VOA CTSOP 2023 (LAD),0,0,0,0,0
Chester North and Neston,England,Samantha Dixon,Labour,Samantha.dixon.mp@parliament.uk,Cheshire West and Chester,18456.0,5.0,,14.1,159832.0,36553,411,22.3,12.83,27.67,61.24,76.25,VOA CTSOP 2023 (LAD),0,0,0,0,0
Chester South and Eddisbury,England,Aphra Brandreth,Conservative,aphra.brandreth.mp@parliament.uk,Cheshire West and Chester,21026.0,5.0,,14.1,159832.0,47280,468,22.3,13.78,28.27,60.01,75.44,VOA CTSOP 2023 (LAD),0,0,0,0,0
Chesterfield,England,Mr Toby Perkins,Labour,toby.perkins.mp@parliament.uk,Chesterfield,19989.0,4,24.452959259024166,15.1,50523.0,42292,464,23.2,13.18,35.33,64.85,83.17,VOA CTSOP 2023 (LAD),0,0,0,0,0
Chichester,England,Jess Brown-Fuller,Liberal Democrat,jess.brownfuller.mp@parliament.uk,Chichester,21343.0,8,13.897356320913419,16.7,57115.0,44841,434,20.3,14.33,28.46,55.41,72.79,VOA CTSOP 2023 (LAD),0,0,0,0,0
Chingford and Woodford Green,England,Sir Iain Duncan Smith,Conservative,Iain.duncansmith.mp@parliament.uk,Waltham Forest,27267.0,6,18.727545716099005,12.5,111422.0,43102,578,21.2,19.58,63.72,76.65,83.62,VOA CTSOP 2023 (LAD),0,0,0,0,0
Chippenham,England,Sarah Gibson,Liberal Democrat,sarah.gibson.mp@parliament.uk,Wiltshire,22300.0,9,12.602057985860048,13.5,229103.0,44590,425,19.1,16.77,26.38,52.43,70.4,VOA CTSOP 2023 (LAD),0,0,0,0,0
Chipping Barnet,England,Dan Tomlinson,Labour,dan.tomlinson.mp@parliament.uk,Barnet,29418.0,8,13.971072858933061,9.9,161231.0,52743,566,19.2,6.7,55.02,69.1,79.26,VOA CTSOP 2023 (LAD),0,0,0,0,0
Chorley,England,Sir Lindsay Hoyle,Speaker,Lindsay.hoyle.mp@parliament.uk,Chorley,23591.0,7,17.78665467612221,14.6,51621.0,45154,490,20.8,14.52,28.45,51.06,72.61,VOA CTSOP 2023 (LAD),2,0,0,0,2
Christchurch,England,Sir Christopher Chope,Conservative,chopec@parliament.uk,"Bournemouth, Christchurch and Poole",15351.0,9,11.59545744025903,13.4,184493.0,46001,292,19.0,14.42,31.95,56.32,77.92,VOA CTSOP 2023 (LAD),0,0,0,0,0
Cities of London and Westminster,England,Rachel Blake,Labour (Co-op),rachel.blake.mp@parliament.uk,City of London,17292.0,7,16.882227236955423,9.9,5290.0,80908,346,20.0,27.5,33.56,66.28,72.32,VOA CTSOP 2023 (LAD),0,0,0,0,0
City of Durham,England,Mary Kelly Foy,Labour,mary.foy.mp@parliament.uk,County Durham,18247.0,7,17.618695275605607,14.7,242900.0,39512,380,20.8,13.72,35.98,64.71,78.73,VOA CTSOP 2023 (LAD),3,5,5,0,0
